ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;SUSPEK;Perawatan RS;Isolasi di Rumah;Suspek Meninggal;Selesai Isolasi;PROBABLE;Perawatan RS;Isolasi di Rumah;Probable Meninggal;Selesai Isolasi;PELAKU PERJALANAN;Isolasi di Rumah;Selesai Isolasi;KONTAK ERAT;Isolasi di Rumah;Selesai Isolasi;DISCARDED;Meninggal;Selesai Isolasi;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
3174041003;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;CILANDAK TIMUR;168;30;11;1;126;0;0;0;0;0;17;0;17;243;9;234;58;0;58;106;5;82;4;15;
3175101002;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CILANGKAP;170;6;12;1;151;0;0;0;0;0;1;0;1;218;31;187;18;0;18;53;2;39;0;12;
3175041006;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CILILITAN;154;5;14;1;134;0;0;0;0;0;4;1;3;441;57;384;41;0;41;89;4;68;2;15;
3172041001;DKI JAKARTA;JAKARTA UTARA;CILINCING;CILINCING;276;9;28;1;238;0;0;0;0;0;5;1;4;892;105;787;59;0;59;206;6;140;3;57;
3175101001;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CIPAYUNG;214;5;10;2;197;1;0;0;1;0;4;0;4;233;31;202;9;0;9;82;1;71;1;9;
3174091006;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;CIPEDAK;352;17;14;0;321;1;0;0;0;1;0;0;0;216;33;183;5;0;5;49;2;37;0;10;
3174061005;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CIPETE SELATAN;138;7;10;1;120;0;0;0;0;0;44;0;44;221;21;200;4;0;4;30;1;22;4;3;
3174071010;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;CIPETE UTARA;272;8;42;3;219;0;0;0;0;0;9;0;9;303;23;280;5;0;5;44;2;33;3;6;
3175021003;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;CIPINANG;127;7;11;2;107;0;0;0;0;0;3;0;3;523;87;436;26;0;26;128;3;99;5;21;
3175031007;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR SELATAN;126;9;9;2;106;0;0;0;0;0;1;0;1;185;27;158;7;0;7;41;3;37;1;0;
3175031008;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;133;5;21;0;107;1;1;0;0;0;3;0;3;337;30;307;15;0;15;74;1;69;2;2;
3175031005;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG CEMPEDAK;131;7;16;2;106;0;0;0;0;0;2;0;2;153;27;126;8;0;8;38;0;34;1;3;
3175081005;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;CIPINANG MELAYU;171;5;44;2;120;1;1;0;0;0;2;0;2;357;37;320;14;0;14;78;0;70;5;3;
3175031006;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG MUARA;186;11;27;1;147;2;1;0;0;1;4;0;4;382;46;336;21;0;21;96;2;76;1;17;
